Labor force status,Govt or private employee,Do not have a car,Need but unable to use public transport.,How likely r make effort for new job next year,Could r find equally good job,Is r likely to lose job,Expanded norc. size code,Respondents income,Race of respondent,Respondents sex,Highest year of school completed,Age of respondent,Number of children,Rs occupational prestige score (2010)
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",$30000 to 34999,White,Female,13,23,1,31
Working fulltime,Government,Yes,No,Somewhat likely,Not easy,Not too likely,"City,10-49999",$15000 to 17499,Black,Female,12,39,2,48
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,Black,Female,18,76,0,61
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,"City,10-49999",$40000 to 49999,Black,Male,14,53,3,43
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"City,10-49999",$22500 to 24999,White,Female,18,62,2,61
Working fulltime,Private,No,No,Very likely,Very easy,Not likely,"City,10-49999",Not applicable,White,Male,12,49,3,73
Keeping house,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,18,53,2,61
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,Black,Male,12,61,3,38
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Fairly likely,Open country,$15000 to 17499,White,Female,16,28,0,47
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,8,69,6,25
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,Open country,$25000 to 29999,White,Male,14,42,1,34
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,8,74,1,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$8 000 to 9 999,White,Male,11,54,2,49
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,7,67,0,35
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,Open country,Not applicable,White,Male,12,28,0,37
Temp not working,Private,Not applicable,Not applicable,No answer,Not applicable,Not applicable,Open country,$75000 to $89999,White,Male,12,52,2,39
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Male,12,66,3,60
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,16,77,2,35
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,10-49999",Refused,White,Male,15,52,1,72
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Male,14,72,5,45
Working fulltime,Private,No,No,Somewhat likely,Not easy,Fairly likely,"City,10-49999",Refused,White,Female,12,55,1,35
School,Private,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Male,15,49,2,36
Retired,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,17,58,2,0
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,10-49999",$12500 to 14999,White,Female,11,19,0,18
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,16,79,2,64
Retired,Private,Yes,Yes,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,7,86,2,25
Working fulltime,Private,Yes,No,Not at all likely,Not applicable,Not applicable,"City,10-49999",$12500 to 14999,White,Female,9,37,2,31
Keeping house,Not applicable,Yes,Yes,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,14,56,4,0
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"City,10-49999",Refused,White,Male,14,37,0,43
School,Private,Yes,Yes,Not applicable,Not applicable,Not applicable,"City,10-49999",$5 000 to 5 999,White,Male,12,18,0,20
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,13,34,3,24
Working fulltime,Government,No,No,Somewhat likely,Very easy,Fairly likely,"City,10-49999",$17500 to 19999,White,Female,16,25,0,61
Other,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Male,11,26,1,0
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Male,14,74,3,60
Working fulltime,Private,No,No,Somewhat likely,Not easy,Not likely,"City,10-49999",$12500 to 14999,White,Male,14,44,0,45
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Very likely,"City,10-49999",Not applicable,White,Male,14,39,2,46
Retired,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,Other,Male,10,51,0,0
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,10-49999",Not applicable,White,Female,9,21,0,0
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"City,10-49999",$1 000 to 2 999,White,Female,15,35,2,40
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,Open country,$10000 to 12499,White,Male,13,28,0,40
Working fulltime,Private,Not applicable,Not applicable,No answer,No answer,No answer,Open country,Not applicable,White,Female,14,49,3,61
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,Not applicable,White,Male,14,49,2,72
Retired,Private,Yes,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,8,60,0,21
Keeping house,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,14,42,2,53
Working fulltime,Government,No,No,Very likely,Very easy,Not likely,Open country,Not applicable,White,Female,14,22,0,53
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,$8 000 to 9 999,White,Female,13,24,0,31
Other,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,$6 000 to 6 999,White,Female,13,40,2,35
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,Open country,$20000 to 22499,White,Female,16,26,0,53
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,Open country,$40000 to 49999,White,Male,16,46,0,50
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,$12500 to 14999,White,Male,12,62,7,40
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,13,59,1,35
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,Open country,$20000 to 22499,White,Male,10,49,3,45
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,13,35,2,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,Refused,White,Male,13,54,4,40
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,Open country,$6 000 to 6 999,White,Female,12,40,3,48
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,Open country,Don't know,White,Male,10,47,0,34
Working parttime,Private,No,No,Not at all likely,Not applicable,Not applicable,Open country,$1 000 to 2 999,White,Female,13,55,2,32
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,12,67,1,0
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,Open country,Not applicable,White,Female,14,22,0,0
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not too likely,Open country,Refused,White,Female,12,41,2,48
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,72,5,31
Retired,Private,Yes,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,7,65,0,42
Working fulltime,Private,No,No,Very likely,Somewhat easy,Fairly likely,"City,50-250000",Not applicable,White,Female,14,21,0,45
Working fulltime,Private,Yes,No,Very likely,Very easy,Not too likely,"City,50-250000",$12500 to 14999,Other,Male,14,36,2,16
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$60000 to 74999,Black,Male,14,48,1,35
Temp not working,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$10000 to 12499,Other,Female,12,34,1,21
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,65,0,49
Working parttime,Government,Not applicable,Not applicable,Somewhat likely,Not easy,Not likely,"City,50-250000",$4 000 to 4 999,Black,Male,16,56,6,38
Keeping house,Not applicable,Yes,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,31,0,0
Working fulltime,Private,No,No,Very likely,Very easy,Don't know,"City,50-250000",Refused,Other,Female,20,56,0,67
"Unempl, laid off",Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$12500 to 14999,White,Female,13,36,4,47
School,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",$1 000 to 2 999,White,Female,13,19,1,45
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Suburb, med city",$30000 to 34999,White,Male,20,61,2,62
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,14,19,1,0
School,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,17,32,1,64
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",$4 000 to 4 999,White,Female,14,25,1,48
School,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,15,60,3,47
School,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Don't know,White,Female,15,22,0,31
School,Private,Yes,Yes,Not applicable,Not applicable,Not applicable,"Suburb, med city",Refused,Other,Female,16,20,0,47
Working fulltime,Government,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, med city",Not applicable,Other,Male,17,24,1,61
School,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,11,42,3,27
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,13,19,0,0
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,12,47,4,59
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,13,62,2,50
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,12,19,0,18
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",$6 000 to 6 999,White,Female,18,61,3,38
Working fulltime,Government,Not applicable,Not applicable,Somewhat likely,Not easy,Not too likely,"Suburb, med city",$35000 to 39999,White,Male,12,42,0,50
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",$90000 - $109999,White,Female,17,40,2,63
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$17500 to 19999,White,Male,16,36,2,61
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Male,12,62,1,73
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Male,18,67,4,46
Working fulltime,Government,Yes,No,Somewhat likely,Somewhat easy,Fairly likely,"Uninc,med city",$30000 to 34999,White,Male,7,60,3,42
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Uninc,med city",$60000 to 74999,White,Male,17,42,2,65
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$30000 to 34999,White,Male,16,53,2,42
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$17500 to 19999,White,Male,12,35,2,37
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,Open country,$40000 to 49999,White,Male,15,46,5,28
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$110000 or over,White,Male,12,51,5,49
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,Open country,$40000 to 49999,White,Female,16,39,3,61
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,Open country,$10000 to 12499,White,Female,11,62,4,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,Open country,$40000 to 49999,White,Female,12,52,3,38
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,Town gt 2500,Not applicable,White,Male,17,75,6,42
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,Town gt 2500,$35000 to 39999,White,Male,13,63,4,38
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,Town gt 2500,$40000 to 49999,White,Female,14,55,4,47
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,Town gt 2500,$40000 to 49999,White,Male,20,65,4,74
